,mean,mean_se,mean_ci_lower,mean_ci_upper
2024-05-09,5.209405320252682,0.14189458804314525,4.93129703808697,5.487513602418395
2024-05-10,5.209405320252682,0.14291798668932035,4.929291213598639,5.489519426906726
2024-05-13,5.209405320252682,0.14393410896213443,4.927299650540035,5.49151098996533
2024-05-14,5.209405320252682,0.14494310789450607,4.925322048972148,5.493488591533217
2024-05-15,5.209405320252682,0.14594513122921665,4.923358119324446,5.495452521180919
2024-05-16,5.209405320252682,0.14694032167144633,4.921407581899917,5.497403058605448
2024-05-17,5.209405320252682,0.14792881712601827,4.919470166410075,5.49934047409529
2024-05-20,5.209405320252682,0.14891075092046846,4.91754561153775,5.501265028967615
2024-05-21,5.209405320252682,0.1498862520149618,4.9156336645256635,5.503176975979701
2024-05-22,5.209405320252682,0.150855445199991,4.913734080788944,5.505076559716421
2024-05-23,5.209405320252682,0.15181845128271573,4.911846623549911,5.506964016955454
2024-05-24,5.209405320252682,0.15277538726273016,4.909971063493572,5.508839577011793
2024-05-28,5.209405320252682,0.15372636649798244,4.908107178442432,5.510703462062933
2024-05-29,5.209405320252682,0.1546714988615125,4.90625475304929,5.512555887456075
2024-05-30,5.209405320252682,0.15561089088962154,4.904413578506833,5.514397061998532
2024-05-31,5.209405320252682,0.15654464592203893,4.9025834522729115,5.516227188232453
2024-06-03,5.209405320252682,0.15747286423460832,4.900764177810484,5.518046462694881
2024-06-04,5.209405320252682,0.15839564316497542,4.898955564341272,5.5198550761640925
2024-06-05,5.209405320252682,0.15931307723172342,4.897157426612257,5.521653213893108
2024-06-06,5.209405320252682,0.16022525824736844,4.895369584674211,5.523441055831154
2024-06-07,5.209405320252682,0.16113227542559794,4.893591863671522,5.525218776833843
2024-06-10,5.209405320252682,0.1620342154831059,4.891824093642592,5.526986546862773
2024-06-11,5.209405320252682,0.16293116273635452,4.890066109330193,5.528744531175172
2024-06-12,5.209405320252682,0.16382319919356747,4.888317750001159,5.530492890504206
2024-06-13,5.209405320252682,0.16471040464223904,4.886578859274875,5.5322317812304895
2024-06-14,5.209405320252682,0.1655928567324236,4.884849284960032,5.533961355545333
2024-06-17,5.209405320252682,0.16647063105605087,4.883128878899168,5.535681761606197
2024-06-18,5.209405320252682,0.1673438012224972,4.881417496820558,5.537393143684807
2024-06-20,5.209405320252682,0.16821243893062574,4.879714998197013,5.539095642308352
2024-06-21,5.209405320252682,0.16907661403749585,4.878021246111211,5.540789394394154
2024-06-24,5.209405320252682,0.1699363946239274,4.876336107127199,5.542474533378166
2024-06-25,5.209405320252682,0.1707918470570947,4.8746594511677035,5.544151189337661
2024-06-26,5.209405320252682,0.17164303605031248,4.87299115139696,5.545819489108405
2024-06-27,5.209405320252682,0.17249002472016667,4.871331084108732,5.547479556396633
2024-06-28,5.209405320252682,0.17333287464113248,4.869679128619267,5.549131511886098
2024-07-01,5.209405320252682,0.17417164589781367,4.868035167164904,5.550775473340461
2024-07-02,5.209405320252682,0.1750063971349283,4.866399084804109,5.552411555701256
2024-07-03,5.209405320252682,0.17583718560515885,4.864770769323687,5.554039871181678
2024-07-05,5.209405320252682,0.17666406721497702,4.863150111148964,5.555660529356401
2024-07-08,5.209405320252682,0.1774870965685471,4.861537003257747,5.557273637247618
2024-07-09,5.209405320252682,0.17830632700980525,4.859931341097843,5.558879299407522
2024-07-10,5.209405320252682,0.1791218106628069,4.858333022507979,5.560477617997386
2024-07-11,5.209405320252682,0.17993359847042822,4.856741947641952,5.562068692863413
2024-07-12,5.209405320252682,0.18074174023150305,4.8551580188958425,5.563652621609522
2024-07-15,5.209405320252682,0.18154628463647218,4.8535811408381395,5.565229499667225
2024-07-16,5.209405320252682,0.18234727930161673,4.852011220142647,5.566799420362718
2024-07-17,5.209405320252682,0.18314477080194416,4.850448165524029,5.568362474981336
2024-07-18,5.209405320252682,0.18393880470279103,4.848891887675865,5.5699187528294996
2024-07-19,5.209405320252682,0.184729425590203,4.847342299211113,5.571468341294252
2024-07-22,5.209405320252682,0.18551667710014966,4.845799314604842,5.573011325900523
2024-07-23,5.209405320252682,0.18630060194662826,4.844262850139159,5.574547790366206
2024-07-24,5.209405320252682,0.1870812419487076,4.842732823850191,5.576077816655173
2024-07-25,5.209405320252682,0.18785863805656028,4.841209155477078,5.5776014850282865
2024-07-26,5.209405320252682,0.18863283037652953,4.839691766412831,5.579118874092534
2024-07-29,5.209405320252682,0.18940385819527383,4.838180579657014,5.580630060848351
2024-07-30,5.209405320252682,0.19017176000303054,4.836675519770147,5.5821351207352174
2024-07-31,5.209405320252682,0.1909365735160372,4.835176512829765,5.5836341276756
2024-08-01,5.209405320252682,0.19169833569814823,4.833683486388043,5.5851271541173215
2024-08-02,5.209405320252682,0.1924570827816809,4.832196369430944,5.586614271074421
2024-08-05,5.209405320252682,0.19321285028752516,4.830715092338804,5.588095548166561
2024-08-06,5.209405320252682,0.1939656730445479,4.829239586848297,5.5895710536570675
2024-08-07,5.209405320252682,0.194715585208322,4.827769786015732,5.591040854489633
2024-08-08,5.209405320252682,0.19546262027920874,4.826305624181605,5.59250501632376
2024-08-09,5.209405320252682,0.19620681111982066,4.824847036936381,5.593963603568984
2024-08-12,5.209405320252682,0.1969481899718904,4.823393961087425,5.59541667941794
2024-08-13,5.209405320252682,0.1976867884725701,4.821946334627057,5.596864305878308
2024-08-14,5.209405320252682,0.19842263767018498,4.820504096701679,5.598306543803686
2024-08-15,5.209405320252682,0.19915576803946292,4.819067187581922,5.599743452923443
2024-08-16,5.209405320252682,0.19988620949626115,4.817635548633782,5.601175091871583
2024-08-19,5.209405320252682,0.20061399141181066,4.816209122290706,5.602601518214659
2024-08-20,5.209405320252682,0.20133914262649696,4.814787852026575,5.604022788478789
2024-08-21,5.209405320252682,0.20206169146319578,4.813371682329574,5.605438958175791
2024-08-22,5.209405320252682,0.20278166574018117,4.811960558676888,5.606850081828477
2024-08-23,5.209405320252682,0.20349909278362252,4.8105544275102075,5.608256212995157
2024-08-26,5.209405320252682,0.20421399943968643,4.809153236212015,5.60965740429335
2024-08-27,5.209405320252682,0.20492641208625864,4.807756933082602,5.611053707422763
2024-08-28,5.209405320252682,0.20563635664430047,4.8063654673178196,5.612445173187545
2024-08-29,5.209405320252682,0.2063438585888535,4.804978788987504,5.613831851517861
2024-08-30,5.209405320252682,0.20704894295970608,4.80359684901457,5.6152137914907945
2024-09-03,5.209405320252682,0.20775163437173355,4.802219599154751,5.616591041350614
2024-09-04,5.209405320252682,0.2084519570249253,4.800846991976938,5.617963648528427
2024-09-05,5.209405320252682,0.20914993471410923,4.799478980844125,5.61933165966124
2024-09-06,5.209405320252682,0.20984559083838525,4.798115519894919,5.620695120610446
2024-09-09,5.209405320252682,0.21053894841027831,4.796756564025601,5.622054076479764
2024-09-10,5.209405320252682,0.21123003006462096,4.795402068872712,5.623408571632653
2024-09-11,5.209405320252682,0.21191885806717514,4.794051990796164,5.624758649709201
2024-09-12,5.209405320252682,0.21260545432300265,4.792706286862821,5.6261043536425435
2024-09-13,5.209405320252682,0.21328984038459312,4.7913649148305835,5.627445725674781
2024-09-16,5.209405320252682,0.21397203745975793,4.790027833132902,5.628782807372463
2024-09-17,5.209405320252682,0.2146520664192984,4.788695000863758,5.630115639641607
2024-09-18,5.209405320252682,0.21532994780445597,4.787366377763059,5.631444262742306
2024-09-19,5.209405320252682,0.216005701834152,4.786041924202447,5.632768716302918
2024-09-20,5.209405320252682,0.2166793484120243,4.784721601171508,5.6340890393338565
2024-09-23,5.209405320252682,0.21735090713326746,4.783405370264369,5.635405270240996
2024-09-24,5.209405320252682,0.2180203972912835,4.782093193666653,5.636717446838712
2024-09-25,5.209405320252682,0.21868783788414925,4.7807850341428155,5.638025606362549
2024-09-26,5.209405320252682,0.21935324762090666,4.7794808550238095,5.639329785481555
2024-09-27,5.209405320252682,0.22001664492768186,4.778180620195089,5.640630020310276
2024-09-30,5.209405320252682,0.22067804795363874,4.776884294084947,5.6419263464204175
2024-10-01,5.209405320252682,0.22133747457677228,4.775591841653159,5.643218798852206
2024-10-02,5.209405320252682,0.22199494240954715,4.774303228379926,5.644507412125439
2024-10-03,5.209405320252682,0.2226504688043863,4.773018420255126,5.645792220250239
2024-10-04,5.209405320252682,0.22330407085901466,4.771737383767833,5.6470732567375315
2024-10-07,5.209405320252682,0.22395576542166243,4.770460085896123,5.648350554609242
2024-10-08,5.209405320252682,0.22460556909613244,4.7691864940971405,5.649624146408224
2024-10-09,5.209405320252682,0.22525349824673616,4.767916576297424,5.650894064207941
2024-10-10,5.209405320252682,0.22589956900310193,4.766650300883482,5.652160339621883
2024-10-11,5.209405320252682,0.22654379726486015,4.765387636692613,5.653423003812752
2024-10-14,5.209405320252682,0.2271861987062086,4.764128553003953,5.654682087501412
2024-10-15,5.209405320252682,0.22782678878036214,4.762873019529758,5.655937620975607
2024-10-16,5.209405320252682,0.22846558272388992,4.761621006406902,5.657189634098463
2024-10-17,5.209405320252682,0.2291025955609439,4.760372484188586,5.6584381563167785
2024-10-18,5.209405320252682,0.22973784210738177,4.759127423836265,5.6596832166691
2024-10-21,5.209405320252682,0.23037133697478754,4.757885796711759,5.660924843793606
2024-10-22,5.209405320252682,0.231003094574393,4.756647574569572,5.662163065935792
2024-10-23,5.209405320252682,0.23163312912090273,4.755412729549397,5.663397910955968
2024-10-24,5.209405320252682,0.23226145463622594,4.754181234168796,5.6646294063365685
2024-10-25,5.209405320252682,0.23288808495311752,4.7529530613160675,5.665857579189297
2024-10-28,5.209405320252682,0.23351303371873128,4.751728184243282,5.667082456262083
2024-10-29,5.209405320252682,0.23413631439808769,4.750506576559483,5.6683040639458815
2024-10-30,5.209405320252682,0.234757940277459,4.749288212224058,5.669522428281307
2024-10-31,5.209405320252682,0.23537792446767358,4.748073065540253,5.670737574965112
2024-11-01,5.209405320252682,0.23599627990734237,4.746861111148858,5.671949529356507
2024-11-04,5.209405320252682,0.2366130193660094,4.745652324022026,5.673158316483339
2024-11-05,5.209405320252682,0.23722815544722844,4.744446679457245,5.67436396104812
2024-11-06,5.209405320252682,0.2378417005915683,4.7432441530714495,5.675566487433915
2024-11-07,5.209405320252682,0.23845366707954832,4.742044720795263,5.6767659197101015
2024-11-08,5.209405320252682,0.23906406703450628,4.740848358867381,5.677962281637984
2024-11-11,5.209405320252682,0.23967291242540062,4.7396550438290745,5.67915559667629
2024-11-12,5.209405320252682,0.24028021506954872,4.738464752518828,5.680345887986537
2024-11-13,5.209405320252682,0.2408859866353031,4.737277462067092,5.681533178438273
2024-11-14,5.209405320252682,0.24149023864466712,4.736093149891152,5.682717490614213
2024-11-15,5.209405320252682,0.24209298247585187,4.734911793690126,5.6838988468152385
2024-11-18,5.209405320252682,0.24269422936577614,4.733733371440058,5.685077269065307
2024-11-19,5.209405320252682,0.24329399041251062,4.732557861389129,5.686252779116236
2024-11-20,5.209405320252682,0.24389227657766788,4.731385242052972,5.687425398452393
2024-11-21,5.209405320252682,0.24448909868874008,4.7302154922100925,5.688595148295272
2024-11-22,5.209405320252682,0.24508446744138507,4.7290485908973885,5.689762049607976
2024-11-25,5.209405320252682,0.24567839340166278,4.72788451740576,5.690926123099604
2024-11-26,5.209405320252682,0.24627088700822317,4.726723251275832,5.692087389229533
2024-11-27,5.209405320252682,0.24686195857444673,4.725564772293748,5.6932458682116165
2024-11-29,5.209405320252682,0.2474516182905392,4.724409060487073,5.694401580018292
2024-12-02,5.209405320252682,0.24803987622558102,4.723256096120771,5.695554544384594
2024-12-03,5.209405320252682,0.2486267423295338,4.722105859693276,5.696704780812089
2024-12-04,5.209405320252682,0.2492122264352037,4.720958331932643,5.697852308572722
2024-12-05,5.209405320252682,0.2497963382601636,4.719813493792777,5.698997146712588
2024-12-06,5.209405320252682,0.25037908740863507,4.718671326449751,5.700139314055614
2024-12-09,5.209405320252682,0.2509604833733306,4.717531811298191,5.701278829207173
2024-12-10,5.209405320252682,0.2515405355372581,4.7163949299477395,5.702415710557625
2024-12-11,5.209405320252682,0.2521192531754872,4.715260664219592,5.703549976285773
2024-12-12,5.209405320252682,0.2526966454568803,4.71412899614311,5.704681644362255
2024-12-13,5.209405320252682,0.2532727214457868,4.712999907952495,5.7058107325528695
2024-12-16,5.209405320252682,0.25384749010370367,4.711873382083535,5.70693725842183
2024-12-17,5.209405320252682,0.25442096029090205,4.710749401170419,5.7080612393349455
2024-12-18,5.209405320252682,0.25499314076802065,4.70962794804261,5.709182692462755
2024-12-19,5.209405320252682,0.25556404019762724,4.708509005721787,5.710301634783578
2024-12-20,5.209405320252682,0.25613366714574887,4.707392557418845,5.71141808308652
2024-12-23,5.209405320252682,0.2567020300833714,4.706278586530957,5.7125320539744076
2024-12-24,5.209405320252682,0.2572691373879093,4.705167076638693,5.713643563866672
2024-12-26,5.209405320252682,0.2578349973446463,4.704058011503195,5.71475262900217
2024-12-27,5.209405320252682,0.2583996181481478,4.70295137506341,5.715859265441955
2024-12-30,5.209405320252682,0.2589630079036453,4.701847151433376,5.716963489071989
2024-12-31,5.209405320252682,0.25952517462839375,4.700745324899563,5.718065315605802
2025-01-02,5.209405320252682,0.2600861262530032,4.6996458799182586,5.719164760587106
2025-01-03,5.209405320252682,0.2606458706227435,4.698548801113018,5.720261839392347
2025-01-06,5.209405320252682,0.26120441549882495,4.69745407327215,5.721356567233215
2025-01-07,5.209405320252682,0.26176176855965355,4.696361681346253,5.722448959159112
2025-01-08,5.209405320252682,0.26231793740206266,4.695271610445808,5.723539030059557
