,Open,High,Low,Close,Volume,Dividends,Stock Splits,rolling_mean_5,rolling_std_5,rolling_mean_10,rolling_std_10,rolling_mean_20,rolling_std_20
2014-05-16,18.487599359827946,18.767129712980825,18.38615263192267,18.766502380371094,276256400,0.0,0.0,18.636096572875978,0.09748393056875398,18.58744831085205,0.12665853549140418,18.176346588134766,0.7543474808634313
2014-05-19,18.777179196327136,19.074925658264494,18.76084674388876,18.988868713378906,317755200,0.0,0.0,18.709966278076173,0.18364517874392602,18.609333038330078,0.17236828824649236,18.29627733230591,0.6754568284280071
2014-05-20,18.9863559218363,19.045716007704435,18.867634072740223,18.992637634277344,234836000,0.0,0.0,18.778749084472658,0.21644818358237317,18.652052307128905,0.20926971711737635,18.415569400787355,0.5626327237319872
2014-05-21,18.964993289506364,19.055132904793908,18.90940224520223,19.042884826660156,196859600,0.0,0.0,18.856892395019532,0.22946261595875775,18.70629291534424,0.23440217295234006,18.54822759628296,0.32053037306428994
2014-05-22,19.05200134058584,19.154077090450485,18.97348243619156,19.073043823242188,200760000,0.0,0.0,18.97278747558594,0.12059347970538897,18.76684703826904,0.24388449019170172,18.615210437774657,0.27850990003931225
2014-05-23,19.072413944049394,19.307344970541426,19.047916102824804,19.28849983215332,232209600,0.0,0.0,19.07718696594238,0.12328385238740897,18.85664176940918,0.2549967182911251,18.686453819274902,0.25759248723743083
2014-05-27,19.343467176801564,19.656917155794623,19.33561545367884,19.649694442749023,348866000,0.0,0.0,19.209352111816408,0.2708422979254033,18.95965919494629,0.34185603458453495,18.74116611480713,0.33336603147908717
2014-05-28,19.661943141292994,19.781607699464256,19.591589619988593,19.598814010620117,315481600,0.0,0.0,19.33058738708496,0.2848892975260756,19.05466823577881,0.3761442826982514,18.79608287811279,0.3789763076242099
2014-05-29,19.719414425773458,20.002713790046727,19.716901740762083,19.955915451049805,376474000,0.0,0.0,19.51319351196289,0.34138874010135617,19.185042953491212,0.44141506622520776,18.872352886199952,0.44862758237334444
2014-05-30,20.037582680596785,20.231997135076202,19.75239954668422,19.88117218017578,564020800,0.0,0.0,19.67481918334961,0.263271414606072,19.323803329467772,0.4173380986347647,18.942715072631835,0.4911868032380771
2014-06-02,19.911319623013256,19.938643816982648,19.551385010445543,19.744543075561523,369350800,0.0,0.0,19.76602783203125,0.15105548902599625,19.421607398986815,0.3856194184660547,19.004527854919434,0.5110262845326141
2014-06-03,19.73857863186439,20.06145203475361,19.7319832512444,20.023761749267578,292709200,0.0,0.0,19.84084129333496,0.17042526788185988,19.525096702575684,0.39532655349023743,19.06721487045288,0.5556911599622463
2014-06-04,20.020612078698385,20.348824361123828,19.97883911843057,20.25240135192871,335482000,0.0,0.0,19.97155876159668,0.18811451395227843,19.65107307434082,0.4073364274536866,19.151562690734863,0.6016496394035812
2014-06-05,20.29575243678049,20.395315502719992,20.18299861068552,20.331871032714844,303805600,0.0,0.0,20.046749877929688,0.2464041299950406,19.77997169494629,0.39731754131733654,19.243132305145263,0.6357416338312004
2014-06-06,20.41196174330879,20.45467739692909,20.241417827256406,20.275964736938477,349938400,0.0,0.0,20.125708389282227,0.24331626853559396,19.900263786315918,0.33703136471220024,19.33355541229248,0.6481063790183471
2014-06-09,20.38055171270853,20.639980601946515,20.171690196333557,20.600406646728516,301660000,0.0,7.0,20.296881103515624,0.20637476522393622,20.031454467773436,0.3276424554566835,19.444048118591308,0.6669759139419235
2014-06-10,20.826859847851225,20.89721336373096,20.571827304437114,20.721328735351562,251108000,0.0,0.0,20.436394500732423,0.21130774085226156,20.13861789703369,0.36232152544557095,19.54913854598999,0.695209170786909
2014-06-11,20.694943970664124,20.83345365016564,20.54984058899587,20.635583877563477,182724000,0.0,0.0,20.513031005859375,0.1968889311398801,20.24229488372803,0.3382290092899667,19.648481559753417,0.7016985307011366
2014-06-12,20.675157109795354,20.69274590615886,20.20466770991124,20.2904109954834,218996000,0.0,0.0,20.504738998413085,0.20703740666498147,20.275744438171387,0.3229556244632839,19.7303936958313,0.6743603990362238
2014-06-13,20.27062937763721,20.32339578286016,19.980420858352804,20.068363189697266,218100000,0.0,0.0,20.463218688964844,0.27428290790258336,20.294463539123534,0.30230938648025285,19.809133434295653,0.611338681935079
2014-06-16,20.118927290607893,20.39154696364155,20.105734852775814,20.270626068115234,142244000,0.0,0.0,20.397262573242188,0.27269249628209447,20.347071838378906,0.2340460694585608,19.884339618682862,0.5672529014391923
2014-06-17,20.294811231676686,20.380554533623588,20.18268640750629,20.244245529174805,118904000,0.0,0.0,20.301845932006835,0.2063482804277037,20.36912021636963,0.20927934284750951,19.947108459472656,0.5312649653278717
2014-06-18,20.286017679359517,20.290415718154026,20.083751506180835,20.266231536865234,134056000,0.0,0.0,20.22797546386719,0.0907215380477001,20.370503234863282,0.2084664240848211,20.01078815460205,0.48516571858173313
2014-06-19,20.290412860289145,20.292611879376672,20.081549658336673,20.19587516784668,142112000,0.0,0.0,20.209068298339844,0.08406309939262109,20.356903648376466,0.2155811981487867,20.06843767166138,0.4293986449332045
2014-06-20,20.19367150645735,20.347570937362566,19.98481002987992,19.987009048461914,403592000,0.0,0.0,20.192797470092774,0.1188014123621598,20.328008079528807,0.24499402387910177,20.114135932922363,0.3610901487308437
2014-06-23,20.07715173794656,20.143108886568083,19.91885592314289,19.969423294067383,174776000,0.0,0.0,20.132556915283203,0.1433084191028496,20.264909744262695,0.24827554483021153,20.148182106018066,0.30723039131474245
2014-06-24,19.951835199836392,20.169491114173802,19.828716973925943,19.84850311279297,156144000,0.0,0.0,20.053408432006837,0.17251015633464822,20.177627182006837,0.22202613610226146,20.158122539520264,0.29314636705070674
2014-06-25,19.83310839258466,19.940836813412776,19.709990197352525,19.866086959838867,147476000,0.0,0.0,19.97337951660156,0.13857447422171884,20.100677490234375,0.17377535639024033,20.171486186981202,0.27160808313060175
2014-06-26,19.868290844393755,20.017792265516814,19.742973600022953,19.984813690185547,130516000,0.0,0.0,19.931167221069337,0.06805985537628347,20.07011775970459,0.16325423807468747,20.172931098937987,0.27047542831041815
2014-06-27,19.967226968267145,20.22665588255079,19.956233549560814,20.222259521484375,256116000,0.0,0.0,19.978217315673827,0.14922837893500798,20.0855073928833,0.17017740590073208,20.189985466003417,0.26172255166471936
2014-06-30,20.248638023264885,20.60700262038807,20.246439004379482,20.43111801147461,197929200,0.0,0.0,20.070556259155275,0.25074176922819924,20.10155658721924,0.1952904260858244,20.224314212799072,0.2446944293237614
2014-07-01,20.560834884643555,20.681755782196653,20.475091585418706,20.560834884643555,152892000,0.0,0.0,20.21302261352539,0.29200511960686176,20.133215522766115,0.2412464606570611,20.251167869567873,0.25091772665163936
2014-07-02,20.63778339071847,20.679554687841406,20.466295132116798,20.552040100097656,113860000,0.0,0.0,20.350213241577148,0.24572857270938883,20.161796379089356,0.27352651833749264,20.26614980697632,0.25978410206893765
2014-07-03,20.593814266756112,20.688351969249357,20.490482164337884,20.672962188720703,91567200,0.0,0.0,20.48784294128418,0.17136985243985128,20.209505081176758,0.3181052803796536,20.283204364776612,0.27507201828843614
2014-07-07,20.697139104048347,21.103870312986214,20.68834470721038,21.09947395324707,225872000,0.0,0.0,20.66328582763672,0.2584218524838147,20.320751571655272,0.4122433230900866,20.32437982559204,0.3300688083800747
2014-07-08,21.16543524885994,21.28195978106939,20.648776453042768,20.96316909790039,260888000,0.0,0.0,20.769696044921876,0.24826388409001723,20.420126152038574,0.4371646859812442,20.342517948150636,0.3550570039980908
